time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-01-08T08:44:59.450Z,19.077,-64.8983,47,3.02,md,4,333,1.3333,0.18,pr,pr2019008009,2019-01-08T12:13:17.646Z,"78km NNW of Road Town, British Virgin Islands",earthquake,3.29,12.72,0.35,3,reviewed,pr,pr
2019-01-08T07:33:41.530Z,19.1333,-65.4245,67,2.68,md,4,335,1.0782,0.27,pr,pr2019008008,2019-01-08T12:12:58.940Z,"89km NNE of Luquillo, Puerto Rico",earthquake,5.5,11.73,0.3,4,reviewed,pr,pr
2019-01-08T06:50:09.095Z,61.3238,-150.0826,19.8,2.7,ml,,,,0.82,ak,ak019dc643w,2019-01-08T07:53:10.023Z,"15km NW of Anchorage, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-01-08T05:54:59.300Z,19.0413,-67.9185,70,2.96,md,14,232,0.7017,0.53,pr,pr2019008005,2019-01-08T11:17:26.620Z,"72km NE of Punta Cana, Dominican Republic",earthquake,5.37,7.28,0.4,13,reviewed,pr,pr
2019-01-08T05:20:08.706Z,56.5412,-156.4159,70.8,3,ml,,,,0.62,ak,ak019dbe8zd,2019-01-08T05:32:17.221Z,"93km NNW of Chirikof Island, Alaska",earthquake,,0.8,,,automatic,ak,ak
2019-01-08T04:50:06.680Z,36.5058,71.0913,119.88,4.1,mb,,80,1.119,0.94,us,us2000j1ap,2019-01-08T05:09:09.040Z,"44km WSW of Ashkasham, Afghanistan",earthquake,7.8,8,0.145,13,reviewed,us,us
2019-01-08T04:15:53.090Z,18.9431,-65.344,44,3.23,md,12,324,0.9468,0.21,pr,pr2019008004,2019-01-08T09:47:21.550Z,"70km N of Culebra, Puerto Rico",earthquake,1.71,6.3,0.29,10,reviewed,pr,pr
2019-01-08T02:32:45.503Z,60.3994,-152.6133,124.1,2.5,ml,,,,0.66,ak,ak019d9oljr,2019-01-08T02:38:25.010Z,"11km SE of Redoubt Volcano, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-01-08T01:13:48.199Z,59.161,-147.6124,5.2,3.2,ml,,,,0.76,ak,ak019d8z3hk,2019-01-08T01:39:46.040Z,"79km WSW of Middleton Island, Alaska",earthquake,,0.8,,,automatic,ak,ak
2019-01-08T00:59:45.740Z,17.8283,-68.4888,52,2.76,md,8,236,0.694,0.5,pr,pr2019008000,2019-01-08T04:16:25.824Z,"62km SSE of Boca de Yuma, Dominican Republic",earthquake,6.57,13.58,0.7,5,reviewed,pr,pr
